date,PM25,PM10,temp,hum,pres,wind,wind_dir,CAT,CAT_24h,CAT_48h,CAT_72h
2023-12-08,8.0,24.0,14.07089125,56.1672,971.4402916666667,2.917735125,240.61157083333333,buena,buena,buena,buena
2023-12-10,7.0,12.0,12.20504090909091,67.28839090909091,967.4632272727272,4.51365809090909,292.24514090909094,buena,buena,buena,buena
2023-12-11,8.0,17.0,10.786432500000002,64.25209583333334,965.1010416666667,3.3828009583333336,281.301025,buena,buena,buena,buena
2023-12-12,7.0,15.0,9.30341875,60.38163333333333,971.6380833333333,5.133667083333333,295.63025,buena,buena,buena,buena
2023-12-14,9.0,15.0,9.69063875,66.44125,957.215875,2.7604512499999996,251.11007916666665,buena,buena,buena,buena
2023-12-15,18.0,20.0,7.4260529166666664,80.11453333333334,956.1790416666666,1.5251482083333334,224.50774458333333,buena,buena,buena,buena
2023-12-16,15.0,18.0,8.095767083333334,65.02269166666666,965.111625,1.9706396666666668,226.71694166666668,buena,buena,buena,buena
2023-12-17,30.0,37.0,9.184887083333333,56.9325,974.5934583333333,1.7700820833333335,214.79541916666668,buena,buena,buena,buena
2023-12-18,13.0,23.0,12.899275833333334,49.5242,980.8853333333333,1.6794734583333335,194.72990249999998,buena,buena,buena,buena
2023-12-19,13.0,30.0,15.77858125,46.107170833333335,976.0365,1.8237499166666666,230.76166666666666,buena,buena,buena,buena
2023-12-20,8.0,27.0,17.737729166666664,42.41185,971.0894583333334,3.018815333333333,223.84254166666668,buena,buena,buena,buena
2023-12-21,6.0,18.0,16.016558333333332,53.4518875,972.4359166666667,3.5587014166666666,256.89159166666667,buena,buena,buena,buena
2023-12-22,5.0,21.0,12.942529166666667,50.758266666666664,972.9873333333334,5.448317916666666,289.72274999999996,buena,buena,buena,buena
2023-12-25,4.0,16.0,15.849958333333333,55.853479166666666,978.6667083333333,3.6709224166666665,263.56376666666665,buena,buena,buena,buena
2023-12-26,7.0,27.0,17.106033333333333,44.57545,977.0007083333334,2.2560714583333334,235.67577083333333,buena,buena,buena,buena
2023-12-27,5.0,19.0,16.402983333333335,50.71966666666666,968.624375,4.580460620833334,282.34887083333336,buena,buena,buena,buena
2023-12-30,5.0,21.0,18.38615,45.02945833333334,973.243625,2.6382665,259.0238391666667,buena,buena,buena,buena
2023-12-31,8.0,22.0,18.234520833333335,44.2909125,972.9065,3.4863951666666666,266.28905833333334,buena,buena,buena,buena
2024-01-02,7.0,18.0,16.594895833333332,56.55572916666667,975.14975,2.6960814583333335,258.3416583333333,buena,buena,buena,buena
2024-01-03,5.0,23.0,17.766036363636363,49.51214090909091,973.3983636363636,3.3609903181818184,289.112,buena,buena,buena,buena
2024-01-04,7.0,18.0,15.174879166666665,64.59425416666666,970.04,2.3791256666666665,292.7801666666667,buena,buena,buena,buena
2024-01-05,6.0,13.0,13.7032375,65.6879125,967.528375,3.5809896249999995,285.92394583333333,buena,buena,buena,buena
2024-01-06,8.0,14.0,12.778260000000001,48.91438333333334,970.0407083333333,3.302491708333333,278.4085416666667,buena,buena,buena,buena
2024-01-07,7.0,14.0,11.5332275,56.90382916666667,967.6426666666666,4.300016666666667,288.43812499999996,buena,buena,buena,buena
2024-01-08,6.0,16.0,9.676366666666667,55.026270833333335,971.4054583333333,4.814959583333333,291.31920833333334,buena,buena,buena,buena
2024-01-09,6.0,12.0,10.186020833333334,52.497283333333336,974.24325,5.009290583333333,290.3636666666667,buena,buena,buena,buena
2024-01-10,7.0,16.0,11.987843750000001,51.83339166666667,978.2749166666666,2.531881541666667,277.00129166666665,buena,buena,buena,buena
2024-01-11,6.0,18.0,14.033715833333334,55.500791666666665,975.824375,1.6353180416666666,231.54916583333332,buena,buena,buena,buena
2024-01-12,5.0,14.0,13.843397083333334,59.195683333333335,973.4034583333333,3.0843307083333333,231.45119250000002,buena,buena,buena,buena
2024-01-15,4.0,13.0,14.709283333333333,48.39791666666667,970.782875,5.23100375,287.80704166666663,buena,buena,buena,buena
2024-01-16,5.0,18.0,14.008184583333334,54.4836875,975.9899583333332,4.316009125,278.7935375,buena,buena,buena,buena
2024-01-17,5.0,19.0,14.9618375,57.58065,968.170125,3.7049918749999997,253.33644583333333,buena,buena,buena,buena
2024-01-18,6.0,22.0,11.555534999999999,55.43902916666667,974.1218333333333,5.858242916666666,290.5325833333333,buena,buena,buena,buena
2024-01-19,7.0,19.0,14.326804166666667,46.86857916666667,977.176375,5.470469166666667,292.5952916666667,buena,buena,buena,buena
2024-01-20,9.0,23.0,14.27246125,50.164787499999996,977.5314583333334,2.7082801666666665,270.2630291666666,buena,buena,buena,buena
2024-01-21,6.0,17.0,16.67180375,49.20045416666667,978.1391666666667,2.0713102083333332,212.78414999999998,buena,buena,buena,buena
2024-01-23,4.0,24.0,18.3146375,51.49801666666667,969.2777083333334,4.14092775,272.5565833333333,buena,buena,buena,buena
2024-01-24,3.0,22.0,17.178095833333334,54.91657083333334,968.6795416666668,4.310958083333333,274.3993625,buena,buena,buena,buena
2024-01-25,4.0,18.0,17.948370833333332,56.33049166666667,964.2057083333333,3.306299291666667,258.834335,buena,buena,buena,buena
2024-01-26,4.0,23.0,16.94333333333333,54.68194166666667,966.654625,3.266931916666667,243.20976416666667,buena,buena,buena,buena
2024-01-28,6.0,19.0,14.753817083333333,44.073058333333336,972.7663333333334,3.0847295958333336,236.52142500000002,buena,buena,buena,buena
2024-01-29,5.0,17.0,14.400933333333334,49.04217083333333,974.6278333333333,3.968288116666667,289.28470666666664,buena,buena,buena,buena
2024-01-30,6.0,22.0,15.539341666666667,53.83318333333333,971.622125,3.7350485416666666,266.51039833333334,buena,buena,buena,buena
2024-01-31,5.0,17.0,16.459966666666666,58.47879583333333,969.6370000000001,3.062718625,255.658375,buena,buena,buena,buena
2024-02-01,3.0,14.0,18.631658333333334,49.533112499999994,969.93075,4.716797583333333,278.8445791666667,buena,buena,buena,buena
2024-02-02,7.0,18.0,14.4365625,60.47395,967.461625,3.9753130416666664,281.3363083333333,buena,buena,buena,buena
2024-02-04,3.0,11.0,16.683270833333335,43.63777083333333,965.032875,3.7557029583333335,286.61472291666666,buena,buena,buena,buena
2024-02-06,6.0,12.0,13.831717916666667,63.58399166666666,962.4872916666667,2.572125375,270.48770125,buena,buena,buena,buena
2024-02-07,6.0,11.0,9.950165416666666,60.2442375,968.779125,6.172361666666667,294.09233333333333,buena,buena,buena,buena
2024-02-08,7.0,12.0,12.963752916666666,56.8702125,975.5835416666667,3.967457583333333,279.0651,buena,buena,buena,buena
2024-02-09,5.0,16.0,16.61622375,54.5848,975.1045833333333,1.263743125,236.21619583333333,buena,buena,buena,buena
2024-02-10,6.0,16.0,17.763891666666666,52.37619166666667,971.3072916666666,2.074733875,190.01599166666665,buena,buena,buena,buena
2024-02-11,8.0,14.0,12.449744583333334,56.97943333333333,970.8925416666666,3.9437619166666664,279.51529166666666,buena,buena,buena,buena
2024-02-12,8.0,15.0,12.165326666666667,48.92413333333334,980.1910416666666,1.7858925166666666,212.85997141666667,buena,buena,buena,buena
2024-02-13,7.0,17.0,16.9992625,43.672175,974.6009583333333,2.125414629166667,217.05686666666668,buena,buena,buena,buena
2024-02-16,9.0,29.0,16.172320833333334,50.31632916666666,969.3558333333334,2.0424163375,209.05112916666667,buena,buena,buena,buena
2024-02-17,6.0,17.0,12.90107375,54.9590375,976.8203333333332,4.9054625,288.7307083333333,buena,buena,buena,buena
2024-02-18,5.0,12.0,13.494132083333334,56.81341666666666,976.984,3.209244958333333,259.97561666666667,buena,buena,buena,buena
2024-02-19,7.0,16.0,18.060725,56.48389583333333,973.0717083333334,2.15921875,222.41544166666665,buena,buena,buena,buena
2024-02-20,6.0,17.0,16.174966666666666,66.00252916666666,969.4779166666667,2.166789458333333,194.85004166666667,buena,buena,buena,buena
2024-02-21,6.0,14.0,13.166703333333333,68.59450833333334,965.4007083333332,2.562244666666667,293.25079166666666,buena,buena,buena,buena
2024-02-23,16.0,24.0,9.869114583333333,57.495775,978.9055416666666,3.4802343333333337,270.389,buena,buena,buena,buena
2024-02-24,15.0,31.0,12.452419583333333,58.946191666666664,979.8914166666667,1.7607620416666665,242.64319583333335,buena,buena,buena,buena
2024-02-25,7.0,18.0,15.44756125,59.46733333333333,976.1355,1.4556375,248.75544166666668,buena,buena,buena,buena
2024-02-26,5.0,13.0,14.804854166666667,62.222125,974.865625,1.7665854583333334,238.55012916666666,buena,buena,buena,buena
2024-02-27,8.0,14.0,13.199695454545456,72.28462608695652,967.6630416666667,1.3240786500000001,250.669045,buena,buena,buena,buena
2024-02-28,8.0,16.0,12.881625,63.019312500000005,973.017875,3.3069350833333337,291.525125,buena,buena,buena,buena
2024-02-29,11.0,20.0,11.969825909090908,58.31690454545455,976.102590909091,3.101733090909091,284.44313636363637,buena,buena,buena,buena
2024-03-02,13.0,17.0,8.570405416666667,59.400175,976.3570833333333,3.3355716666666666,275.91883333333334,buena,buena,buena,buena
2024-03-03,12.0,18.0,9.955728333333333,56.5505875,980.8334166666667,3.445083041666667,267.7492625,buena,buena,buena,buena
2024-03-04,31.0,58.0,11.981095833333333,57.1881375,981.40175,1.4710455375,212.67053333333334,buena,buena,buena,buena
2024-03-05,24.0,49.0,10.722333333333333,59.39404166666667,970.1675833333334,1.9025896458333333,213.835036375,buena,buena,buena,buena
2024-03-07,20.0,32.0,11.400559999999999,58.782450000000004,964.8942916666666,1.0320900833333333,194.31532083333332,buena,buena,buena,buena
2024-03-08,20.0,22.0,6.273094583333333,82.41363750000001,958.234125,1.6119330500000002,233.23969125,buena,buena,buena,buena
2024-03-09,14.0,16.0,8.58834375,69.2727,967.1249583333333,3.606914208333333,285.45862500000004,buena,buena,buena,buena
2024-03-10,10.0,14.0,11.990784166666666,62.0573625,964.6055416666667,3.8858160833333333,238.21199166666668,buena,buena,buena,buena
2024-03-11,26.0,29.0,10.320151666666666,76.745275,963.4257916666667,1.56780425,252.6793,buena,buena,buena,buena
2024-03-12,11.0,14.0,10.372804166666667,63.78289166666667,963.5834583333334,4.110297958333333,293.78041666666667,buena,buena,buena,buena
2024-03-13,21.0,23.0,7.332285833333334,80.62778333333334,959.6390416666667,2.65069075,257.22499166666665,buena,buena,buena,buena
2024-03-14,12.0,15.0,8.610312500000001,66.95722916666666,965.7059166666667,4.7275207083333335,295.108525,buena,buena,buena,buena
2024-03-15,16.0,18.0,8.54606875,74.71967083333332,962.0612500000001,3.672564166666667,289.96158333333335,buena,buena,buena,buena
2024-03-18,16.6,20.0,9.394532083333333,66.18277916666666,965.785,2.8323549999999997,282.6662083333333,buena,buena,buena,buena
2024-03-19,19.4,24.0,8.426770416666667,78.4694,954.4299166666666,1.2741279833333332,240.54513708333334,buena,buena,buena,regular
2024-03-20,22.2,25.0,6.656044583333333,67.5521625,965.8589583333334,3.4397505,280.509875,buena,buena,regular,buena
2024-03-21,25.0,26.0,9.071685,64.942825,975.8752083333334,3.1394680000000004,239.89112083333336,buena,regular,buena,buena
2024-03-22,57.0,27.0,6.0656920833333325,85.71790416666666,970.476125,0.6111535833333334,186.35406666666665,regular,buena,buena,buena
2024-03-23,46.0,28.0,10.27862,85.7779875,965.4015833333333,1.456813475,247.02407083333333,buena,buena,buena,buena
